round,orphanRate,orphanRate_Std,reorgMax,reorgMax_Std,reorgP99,reorgP99_Std,reorgRate,reorgRate_Std,selfShares,selfShares_Std,gamma,gamma_Std,diffDiverg,diffDiverg_Std,P0_strategy,P0_HPP,kThresh,retortPolicy
0,0.0667,0.0000,1.0000,0.0000,1.0000,0.0000,-3357903.0000,0.0000,-0.1889,0.0000,0.0833,0.0000,0.9787,0.0000,SS0,0.3,0,0
1,0.2051,0.0000,3.0000,0.0000,3.0000,0.0000,-3357897.0000,0.0000,-0.0179,0.0000,0.0650,0.0000,0.9748,0.0000,SS0,0.3,0,1
2,0.1667,0.0000,4.0000,0.0000,4.0000,0.0000,-3357906.0000,0.0000,-0.0500,0.0000,0.0722,0.0000,0.9832,0.0000,SS0,0.3,1,0
3,0.2727,0.0000,6.6667,1.8856,6.6667,1.8856,-3357902.0000,0.0000,0.0409,0.0000,0.0510,0.0000,0.9811,0.0000,SS0,0.3,1,1
4,0.1250,0.0000,3.0000,0.0000,3.0000,0.0000,-3357898.0000,0.0000,-0.2000,0.0000,0.1250,0.0000,0.9751,0.0000,SS0,0.4,0,0
5,0.0811,0.0000,1.0000,0.0000,1.0000,0.0000,-3357895.0000,0.0000,-0.2378,0.0000,0.0676,0.0000,0.9731,0.0000,SS0,0.4,0,1
6,0.1818,0.0000,3.0000,0.0000,3.0000,0.0000,-3357902.0000,0.0000,-0.0818,0.0000,0.0500,0.0000,0.9811,0.0000,SS0,0.4,1,0
7,0.2444,0.0000,3.0000,0.0000,3.0000,0.0000,-3357903.0000,0.0000,0.0444,0.0000,0.0500,0.0000,0.9787,0.0000,SS0,0.4,1,1
